frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
199,1,driving car,0.18
199,2,texting,0.13
199,3,changing oil,0.06
200,0,finger snapping,0.55
200,1,driving car,0.2
200,2,texting,0.14
200,3,changing oil,0.06
201,0,finger snapping,0.52
201,1,driving car,0.21
201,2,texting,0.15
201,3,changing oil,0.06
202,0,finger snapping,0.49
202,1,driving car,0.23
202,2,texting,0.15
202,3,changing oil,0.06
203,0,finger snapping,0.48
203,1,driving car,0.24
203,2,texting,0.15
203,3,changing oil,0.06
204,0,finger snapping,0.47
204,1,driving car,0.25
204,2,texting,0.16
204,3,changing oil,0.06
205,0,finger snapping,0.45
205,1,driving car,0.26
205,2,texting,0.17
205,3,changing oil,0.06
206,0,finger snapping,0.43
206,1,driving car,0.28
206,2,texting,0.17
206,3,changing oil,0.06
207,0,finger snapping,0.43
207,1,driving car,0.29
207,2,texting,0.16
207,3,changing oil,0.06
208,0,finger snapping,0.42
208,1,driving car,0.29
208,2,texting,0.16
208,3,changing oil,0.06
209,0,finger snapping,0.41
209,1,driving car,0.3
209,2,texting,0.18
209,3,changing oil,0.06
210,0,finger snapping,0.39
210,1,driving car,0.31
210,2,texting,0.17
210,3,changing oil,0.06
211,0,finger snapping,0.39
211,1,driving car,0.32
211,2,texting,0.16
211,3,changing oil,0.06
212,0,finger snapping,0.37
212,1,driving car,0.33
212,2,texting,0.18
212,3,changing oil,0.06
213,0,finger snapping,0.35
213,1,driving car,0.34
213,2,texting,0.18
213,3,changing oil,0.06
214,0,driving car,0.36
214,1,finger snapping,0.33
214,2,texting,0.18
214,3,changing oil,0.06
215,0,driving car,0.37
215,1,finger snapping,0.32
215,2,texting,0.17
215,3,changing oil,0.07
216,0,driving car,0.38
216,1,finger snapping,0.28
216,2,texting,0.19
216,3,changing oil,0.07
217,0,driving car,0.38
217,1,finger snapping,0.26
217,2,texting,0.2
217,3,changing oil,0.08
218,0,driving car,0.4
218,1,finger snapping,0.24
218,2,texting,0.21
218,3,changing oil,0.08
218,4,pumping gas,0.01
219,0,driving car,0.42
219,1,finger snapping,0.23
219,2,texting,0.2
219,3,changing oil,0.08
219,4,pumping gas,0.01
220,0,driving car,0.42
220,1,texting,0.22
220,2,finger snapping,0.21
220,3,changing oil,0.08
220,4,pumping gas,0.01
221,0,driving car,0.41
221,1,texting,0.26
221,2,finger snapping,0.17
221,3,changing oil,0.07
221,4,pumping gas,0.01
222,0,driving car,0.42
222,1,texting,0.27
222,2,finger snapping,0.15
222,3,changing oil,0.08
222,4,pumping gas,0.01
223,0,driving car,0.44
223,1,texting,0.26
223,2,finger snapping,0.14
223,3,changing oil,0.08
223,4,pumping gas,0.01
224,0,driving car,0.43
224,1,texting,0.28
224,2,finger snapping,0.13
224,3,changing oil,0.07
224,4,pumping gas,0.01
225,0,driving car,0.42
225,1,texting,0.32
225,2,finger snapping,0.11
225,3,changing oil,0.07
225,4,pumping gas,0.01
226,0,driving car,0.42
226,1,texting,0.32
226,2,finger snapping,0.11
226,3,changing oil,0.07
226,4,pumping gas,0.01
227,0,driving car,0.44
227,1,texting,0.31
227,2,finger snapping,0.11
227,3,changing oil,0.07
227,4,pumping gas,0.01
228,0,driving car,0.43
228,1,texting,0.34
228,2,finger snapping,0.09
228,3,changing oil,0.06
228,4,pumping gas,0.01
229,0,driving car,0.42
229,1,texting,0.36
229,2,finger snapping,0.08
229,3,changing oil,0.06
229,4,pumping gas,0.01
230,0,driving car,0.43
230,1,texting,0.36
230,2,finger snapping,0.08
230,3,changing oil,0.06
230,4,pumping gas,0.01
231,0,driving car,0.44
231,1,texting,0.35
231,2,finger snapping,0.07
231,3,changing oil,0.05
231,4,pumping gas,0.01
232,0,driving car,0.43
232,1,texting,0.37
232,2,finger snapping,0.07
232,3,changing oil,0.05
232,4,pumping gas,0.01
233,0,driving car,0.42
233,1,texting,0.39
233,2,finger snapping,0.06
233,3,changing oil,0.05
233,4,pumping gas,0.01
234,0,driving car,0.43
234,1,texting,0.39
234,2,finger snapping,0.06
234,3,changing oil,0.05
234,4,pumping gas,0.01
235,0,driving car,0.43
235,1,texting,0.37
235,2,finger snapping,0.06
235,3,changing oil,0.05
235,4,pumping gas,0.01
236,0,driving car,0.42
236,1,texting,0.39
236,2,finger snapping,0.06
236,3,changing oil,0.05
236,4,pumping gas,0.01
237,0,driving car,0.42
237,1,texting,0.41
237,2,finger snapping,0.05
237,3,changing oil,0.04
237,4,pumping gas,0.01
238,0,texting,0.41
238,1,driving car,0.41
238,2,finger snapping,0.06
238,3,changing oil,0.04
238,4,pumping gas,0.02
239,0,driving car,0.42
239,1,texting,0.4
239,2,finger snapping,0.06
239,3,changing oil,0.04
239,4,pumping gas,0.02
240,0,texting,0.41
240,1,driving car,0.41
240,2,finger snapping,0.06
240,3,changing oil,0.04
240,4,pumping gas,0.02
241,0,texting,0.43
241,1,driving car,0.4
241,2,finger snapping,0.06
241,3,changing oil,0.03
241,4,pumping gas,0.01
242,0,texting,0.45
242,1,driving car,0.38
242,2,finger snapping,0.06
242,3,changing oil,0.03
242,4,pumping gas,0.01
243,0,texting,0.43
243,1,driving car,0.39
243,2,finger snapping,0.06
243,3,changing oil,0.03
243,4,pumping gas,0.01
244,0,texting,0.46
244,1,driving car,0.38
244,2,finger snapping,0.05
244,3,changing oil,0.04
244,4,pumping gas,0.01
245,0,texting,0.47
245,1,driving car,0.36
245,2,finger snapping,0.05
245,3,changing oil,0.03
245,4,pumping gas,0.01
246,0,texting,0.49
246,1,driving car,0.35
246,2,finger snapping,0.05
246,3,changing oil,0.03
246,4,pumping gas,0.01
247,0,texting,0.48
247,1,driving car,0.35
247,2,finger snapping,0.05
247,3,changing oil,0.03
247,4,pumping gas,0.01
248,0,texting,0.52
248,1,driving car,0.34
248,2,changing oil,0.04
248,3,finger snapping,0.03
248,4,pumping gas,0.01
249,0,texting,0.53
249,1,driving car,0.33
249,2,changing oil,0.03
249,3,finger snapping,0.03
249,4,pumping gas,0.01
250,0,texting,0.56
250,1,driving car,0.31
250,2,changing oil,0.03
250,3,finger snapping,0.03
250,4,pumping gas,0.01
251,0,texting,0.55
251,1,driving car,0.32
251,2,changing oil,0.03
251,3,finger snapping,0.02
251,4,pumping gas,0.01
252,0,texting,0.58
252,1,driving car,0.31
252,2,changing oil,0.03
252,3,finger snapping,0.02
252,4,pumping gas,0.01
253,0,texting,0.58
253,1,driving car,0.3
253,2,finger snapping,0.03
253,3,changing oil,0.02
253,4,pumping gas,0.01
254,0,texting,0.6
254,1,driving car,0.29
254,2,changing oil,0.03
254,3,finger snapping,0.02
254,4,pumping gas,0.01
255,0,texting,0.6
255,1,driving car,0.3
255,2,changing oil,0.02
255,3,finger snapping,0.02
255,4,pumping gas,0.01
256,0,texting,0.62
256,1,driving car,0.28
256,2,changing oil,0.02
256,3,finger snapping,0.02
256,4,pumping gas,0.01
257,0,texting,0.61
257,1,driving car,0.28
257,2,finger snapping,0.03
257,3,changing oil,0.02
257,4,pumping gas,0.01
258,0,texting,0.62
258,1,driving car,0.28
258,2,finger snapping,0.03
258,3,changing oil,0.02
258,4,pumping gas,0.01
259,0,texting,0.61
259,1,driving car,0.28
259,2,finger snapping,0.03
259,3,changing oil,0.02
259,4,pumping gas,0.01
260,0,texting,0.61
260,1,driving car,0.27
260,2,finger snapping,0.03
260,3,changing oil,0.03
260,4,pumping gas,0.01
261,0,texting,0.58
261,1,driving car,0.29
261,2,finger snapping,0.05
261,3,changing oil,0.03
261,4,pumping gas,0.01
262,0,texting,0.58
262,1,driving car,0.29
262,2,finger snapping,0.05
262,3,changing oil,0.03
262,4,pumping gas,0.01
263,0,texting,0.57
263,1,driving car,0.3
263,2,finger snapping,0.04
263,3,changing oil,0.04
264,0,texting,0.56
264,1,driving car,0.29
264,2,changing oil,0.05
264,3,finger snapping,0.04
265,0,texting,0.52
265,1,driving car,0.29
265,2,changing oil,0.07
265,3,finger snapping,0.05
266,0,texting,0.51
266,1,driving car,0.29
